GameDate,GameStartET,Season,VisitorTeamName,VisitorPoints,HomeTeamName,HomePoints,Overtime,Attendance,ArenaName
2017-10-17,8:01p,2017-2018,Boston Celtics,99,Cleveland Cavaliers,102,,20562,Rocket Mortgage FieldHouse
2017-10-17,10:30p,2017-2018,Houston Rockets,122,Golden State Warriors,121,,19596,Chase Center
2017-10-18,7:00p,2017-2018,Charlotte Hornets,90,Detroit Pistons,102,,20491,Little Caesars Arena
2017-10-18,7:00p,2017-2018,Brooklyn Nets,131,Indiana Pacers,140,,15008,Bankers Life Fieldhouse
2017-10-18,7:00p,2017-2018,Miami Heat,109,Orlando Magic,116,,18846,Amway Center
2017-10-18,7:00p,2017-2018,Philadelphia 76ers,115,Washington Wizards,120,,20356,Capital One Arena
2017-10-18,7:30p,2017-2018,Milwaukee Bucks,108,Boston Celtics,100,,18624,TD Garden
2017-10-18,8:00p,2017-2018,New Orleans Pelicans,91,Memphis Grizzlies,103,,17794,FedExForum
2017-10-18,8:30p,2017-2018,Atlanta Hawks,117,Dallas Mavericks,111,,19709,American Airlines Center
2017-10-18,9:00p,2017-2018,Denver Nuggets,96,Utah Jazz,106,,17588,Vivint Smart Home Arena
2017-10-18,9:30p,2017-2018,Minnesota Timberwolves,99,San Antonio Spurs,107,,18418,AT&T Center
2017-10-18,10:00p,2017-2018,Portland Trail Blazers,124,Phoenix Suns,76,,18055,Talking Stick Resort Arena
2017-10-18,10:00p,2017-2018,Houston Rockets,105,Sacramento Kings,100,,17583,Golden 1 Center
2017-10-19,7:30p,2017-2018,Chicago Bulls,100,Toronto Raptors,117,,19800,Scotiabank Arena
2017-10-19,8:00p,2017-2018,New York Knicks,84,Oklahoma City Thunder,105,,18203,Chesapeake Energy Arena
2017-10-19,10:30p,2017-2018,Los Angeles Clippers,108,Los Angeles Lakers,92,,18997,Staples Center
2017-10-20,7:00p,2017-2018,Atlanta Hawks,91,Charlotte Hornets,109,,18417,Spectrum Center
2017-10-20,7:00p,2017-2018,Portland Trail Blazers,114,Indiana Pacers,96,,15325,Bankers Life Fieldhouse
2017-10-20,7:00p,2017-2018,Cleveland Cavaliers,116,Milwaukee Bucks,97,,18717,Fiserv Forum
2017-10-20,7:00p,2017-2018,Boston Celtics,102,Philadelphia 76ers,92,,20816,Wells Fargo Center
2017-10-20,7:00p,2017-2018,Detroit Pistons,111,Washington Wizards,115,,16337,Capital One Arena
2017-10-20,7:30p,2017-2018,Orlando Magic,121,Brooklyn Nets,126,,16144,Barclays Center
2017-10-20,8:00p,2017-2018,Utah Jazz,97,Minnesota Timberwolves,100,,18978,Target Center
2017-10-20,8:30p,2017-2018,Sacramento Kings,93,Dallas Mavericks,88,,19273,American Airlines Center
2017-10-20,9:30p,2017-2018,Golden State Warriors,128,New Orleans Pelicans,120,,18171,Smoothie King Center
2017-10-20,10:00p,2017-2018,Los Angeles Lakers,132,Phoenix Suns,130,,18055,Talking Stick Resort Arena
2017-10-21,7:30p,2017-2018,Philadelphia 76ers,94,Toronto Raptors,128,,19800,Scotiabank Arena
2017-10-21,8:00p,2017-2018,San Antonio Spurs,87,Chicago Bulls,77,,21640,United Center
2017-10-21,8:00p,2017-2018,Orlando Magic,114,Cleveland Cavaliers,93,,20562,Rocket Mortgage FieldHouse
2017-10-21,8:00p,2017-2018,Dallas Mavericks,91,Houston Rockets,107,,18055,Toyota Center
2017-10-21,8:00p,2017-2018,Golden State Warriors,101,Memphis Grizzlies,111,,17794,FedExForum
2017-10-21,8:00p,2017-2018,Indiana Pacers,108,Miami Heat,112,,19600,American Airlines Arena
2017-10-21,8:00p,2017-2018,Detroit Pistons,111,New York Knicks,107,,19812,Madison Square Garden
2017-10-21,8:30p,2017-2018,Portland Trail Blazers,110,Milwaukee Bucks,113,,16211,Fiserv Forum
2017-10-21,9:00p,2017-2018,Sacramento Kings,79,Denver Nuggets,96,,19520,Pepsi Center
2017-10-21,9:00p,2017-2018,Oklahoma City Thunder,87,Utah Jazz,96,,18300,Vivint Smart Home Arena
2017-10-21,10:30p,2017-2018,Phoenix Suns,88,Los Angeles Clippers,130,,19068,Staples Center
2017-10-22,3:30p,2017-2018,Atlanta Hawks,104,Brooklyn Nets,116,,13917,Barclays Center
2017-10-22,7:00p,2017-2018,Minnesota Timberwolves,115,Oklahoma City Thunder,113,,18203,Chesapeake Energy Arena
2017-10-22,9:30p,2017-2018,New Orleans Pelicans,119,Los Angeles Lakers,112,,18997,Staples Center
2017-10-23,7:00p,2017-2018,Philadelphia 76ers,97,Detroit Pistons,86,,13709,Little Caesars Arena
2017-10-23,7:30p,2017-2018,Atlanta Hawks,93,Miami Heat,104,,19600,American Airlines Arena
2017-10-23,8:00p,2017-2018,Memphis Grizzlies,98,Houston Rockets,90,,17129,Toyota Center
2017-10-23,8:00p,2017-2018,Charlotte Hornets,94,Milwaukee Bucks,103,,12887,Fiserv Forum
2017-10-23,8:30p,2017-2018,Golden State Warriors,133,Dallas Mavericks,103,,19875,American Airlines Center
2017-10-23,8:30p,2017-2018,Toronto Raptors,97,San Antonio Spurs,101,,18418,AT&T Center
2017-10-23,9:00p,2017-2018,Washington Wizards,109,Denver Nuggets,104,,14294,Pepsi Center
2017-10-23,10:00p,2017-2018,Sacramento Kings,115,Phoenix Suns,117,,14903,Talking Stick Resort Arena
2017-10-24,7:00p,2017-2018,Chicago Bulls,112,Cleveland Cavaliers,119,,20562,Rocket Mortgage FieldHouse
2017-10-24,7:00p,2017-2018,Brooklyn Nets,121,Orlando Magic,125,,16015,Amway Center
2017-10-24,7:30p,2017-2018,New York Knicks,89,Boston Celtics,110,,18624,TD Garden
2017-10-24,8:00p,2017-2018,Indiana Pacers,130,Minnesota Timberwolves,107,,14353,Target Center
2017-10-24,10:00p,2017-2018,New Orleans Pelicans,93,Portland Trail Blazers,103,,19446,Moda Center
2017-10-24,10:30p,2017-2018,Utah Jazz,84,Los Angeles Clippers,102,,16607,Staples Center
2017-10-25,7:00p,2017-2018,Denver Nuggets,93,Charlotte Hornets,110,,14253,Spectrum Center
2017-10-25,7:00p,2017-2018,Minnesota Timberwolves,101,Detroit Pistons,122,,13790,Little Caesars Arena
2017-10-25,7:00p,2017-2018,Houston Rockets,105,Philadelphia 76ers,104,,20682,Wells Fargo Center
2017-10-25,7:30p,2017-2018,Cleveland Cavaliers,107,Brooklyn Nets,112,,17732,Barclays Center
2017-10-25,8:00p,2017-2018,San Antonio Spurs,117,Miami Heat,100,,19600,American Airlines Arena
2017-10-25,8:00p,2017-2018,Indiana Pacers,96,Oklahoma City Thunder,114,,18203,Chesapeake Energy Arena
2017-10-25,8:30p,2017-2018,Memphis Grizzlies,94,Dallas Mavericks,103,,19674,American Airlines Center
2017-10-25,10:00p,2017-2018,Utah Jazz,88,Phoenix Suns,97,,16022,Talking Stick Resort Arena
2017-10-25,10:30p,2017-2018,Toronto Raptors,112,Golden State Warriors,117,,19596,Chase Center
2017-10-25,10:30p,2017-2018,Washington Wizards,99,Los Angeles Lakers,102,OT,18996,Staples Center
2017-10-26,8:00p,2017-2018,Atlanta Hawks,86,Chicago Bulls,91,,21104,United Center
2017-10-26,8:00p,2017-2018,Dallas Mavericks,91,Memphis Grizzlies,96,,15839,FedExForum
2017-10-26,8:00p,2017-2018,Boston Celtics,96,Milwaukee Bucks,89,,11046,Fiserv Forum
2017-10-26,10:00p,2017-2018,Los Angeles Clippers,104,Portland Trail Blazers,103,,18694,Moda Center
2017-10-26,10:30p,2017-2018,New Orleans Pelicans,114,Sacramento Kings,106,,17583,Golden 1 Center
2017-10-27,7:00p,2017-2018,Houston Rockets,109,Charlotte Hornets,93,,17339,Spectrum Center
2017-10-27,7:00p,2017-2018,San Antonio Spurs,87,Orlando Magic,114,,17337,Amway Center
2017-10-27,7:30p,2017-2018,Denver Nuggets,105,Atlanta Hawks,100,,16220,State Farm Arena
2017-10-27,7:30p,2017-2018,Brooklyn Nets,86,New York Knicks,107,,19812,Madison Square Garden
2017-10-27,8:00p,2017-2018,Oklahoma City Thunder,116,Minnesota Timberwolves,119,,17620,Target Center
2017-10-27,10:30p,2017-2018,Washington Wizards,117,Golden State Warriors,120,,19596,Chase Center
2017-10-27,10:30p,2017-2018,Toronto Raptors,101,Los Angeles Lakers,92,,17876,Staples Center
2017-10-28,7:00p,2017-2018,Cleveland Cavaliers,101,New Orleans Pelicans,123,,18539,Smoothie King Center
2017-10-28,8:00p,2017-2018,Oklahoma City Thunder,101,Chicago Bulls,69,,21706,United Center
2017-10-28,8:00p,2017-2018,Houston Rockets,89,Memphis Grizzlies,103,,17033,FedExForum
2017-10-28,8:00p,2017-2018,Boston Celtics,96,Miami Heat,90,,19600,American Airlines Arena
2017-10-28,8:30p,2017-2018,Philadelphia 76ers,112,Dallas Mavericks,110,,19567,American Airlines Center
2017-10-28,9:00p,2017-2018,Los Angeles Lakers,81,Utah Jazz,96,,18306,Vivint Smart Home Arena
2017-10-28,10:00p,2017-2018,Phoenix Suns,107,Portland Trail Blazers,114,,19343,Moda Center
2017-10-28,10:30p,2017-2018,Detroit Pistons,95,Los Angeles Clippers,87,,17247,Staples Center
2017-10-29,3:30p,2017-2018,Milwaukee Bucks,117,Atlanta Hawks,106,,14014,State Farm Arena
2017-10-29,4:30p,2017-2018,San Antonio Spurs,94,Indiana Pacers,97,,15013,Bankers Life Fieldhouse
2017-10-29,6:00p,2017-2018,Denver Nuggets,124,Brooklyn Nets,111,,14854,Barclays Center
2017-10-29,6:00p,2017-2018,Orlando Magic,113,Charlotte Hornets,120,,15531,Spectrum Center
2017-10-29,6:00p,2017-2018,Washington Wizards,110,Sacramento Kings,83,,17583,Golden 1 Center
2017-10-29,7:00p,2017-2018,New York Knicks,114,Cleveland Cavaliers,95,,20562,Rocket Mortgage FieldHouse
2017-10-29,8:30p,2017-2018,Detroit Pistons,115,Golden State Warriors,107,,19596,Chase Center
2017-10-30,7:30p,2017-2018,San Antonio Spurs,94,Boston Celtics,108,,18624,TD Garden
2017-10-30,7:30p,2017-2018,Minnesota Timberwolves,125,Miami Heat,122,OT,19600,American Airlines Arena
2017-10-30,7:30p,2017-2018,Denver Nuggets,110,New York Knicks,116,,19812,Madison Square Garden
2017-10-30,8:00p,2017-2018,Philadelphia 76ers,115,Houston Rockets,107,,16714,Toyota Center
2017-10-30,8:00p,2017-2018,Charlotte Hornets,104,Memphis Grizzlies,99,,15771,FedExForum
2017-10-30,8:00p,2017-2018,Orlando Magic,115,New Orleans Pelicans,99,,14004,Smoothie King Center
2017-10-30,9:00p,2017-2018,Dallas Mavericks,89,Utah Jazz,104,,16221,Vivint Smart Home Arena
2017-10-30,10:00p,2017-2018,Toronto Raptors,99,Portland Trail Blazers,85,,18505,Moda Center
2017-10-30,10:30p,2017-2018,Golden State Warriors,141,Los Angeles Clippers,113,,19068,Staples Center
2017-10-31,7:00p,2017-2018,Sacramento Kings,83,Indiana Pacers,101,,12245,Bankers Life Fieldhouse
2017-10-31,7:30p,2017-2018,Phoenix Suns,122,Brooklyn Nets,114,,12936,Barclays Center
2017-10-31,8:00p,2017-2018,Oklahoma City Thunder,110,Milwaukee Bucks,91,,16713,Fiserv Forum
2017-10-31,10:30p,2017-2018,Detroit Pistons,93,Los Angeles Lakers,113,,17569,Staples Center
2017-11-01,7:00p,2017-2018,Milwaukee Bucks,121,Charlotte Hornets,126,,15655,Spectrum Center
2017-11-01,7:00p,2017-2018,Indiana Pacers,124,Cleveland Cavaliers,107,,20562,Rocket Mortgage FieldHouse
2017-11-01,7:00p,2017-2018,Atlanta Hawks,109,Philadelphia 76ers,119,,20549,Wells Fargo Center
2017-11-01,7:00p,2017-2018,Phoenix Suns,122,Washington Wizards,116,,14790,Capital One Arena
2017-11-01,7:30p,2017-2018,Sacramento Kings,86,Boston Celtics,113,,18624,TD Garden
2017-11-01,7:30p,2017-2018,Chicago Bulls,91,Miami Heat,97,,19600,American Airlines Arena
2017-11-01,8:00p,2017-2018,Orlando Magic,101,Memphis Grizzlies,99,,15434,FedExForum
2017-11-01,8:00p,2017-2018,Minnesota Timberwolves,104,New Orleans Pelicans,98,,14788,Smoothie King Center
2017-11-01,8:00p,2017-2018,Houston Rockets,119,New York Knicks,97,,18320,Madison Square Garden
2017-11-01,9:00p,2017-2018,Toronto Raptors,111,Denver Nuggets,129,,14072,Pepsi Center
2017-11-01,9:00p,2017-2018,Portland Trail Blazers,103,Utah Jazz,112,OT,16685,Vivint Smart Home Arena
2017-11-01,10:30p,2017-2018,Dallas Mavericks,98,Los Angeles Clippers,119,,13487,Staples Center
2017-11-02,8:00p,2017-2018,Golden State Warriors,112,San Antonio Spurs,92,,18418,AT&T Center
2017-11-02,10:30p,2017-2018,Los Angeles Lakers,110,Portland Trail Blazers,113,,19469,Moda Center
2017-11-03,7:00p,2017-2018,Milwaukee Bucks,96,Detroit Pistons,105,,17207,Little Caesars Arena
2017-11-03,7:00p,2017-2018,Chicago Bulls,105,Orlando Magic,83,,19171,Amway Center
2017-11-03,7:00p,2017-2018,Indiana Pacers,110,Philadelphia 76ers,121,,20668,Wells Fargo Center
2017-11-03,7:00p,2017-2018,Cleveland Cavaliers,130,Washington Wizards,122,,20356,Capital One Arena
2017-11-03,7:30p,2017-2018,Houston Rockets,119,Atlanta Hawks,104,,14087,State Farm Arena
2017-11-03,7:30p,2017-2018,Phoenix Suns,107,New York Knicks,120,,19404,Madison Square Garden
2017-11-03,8:30p,2017-2018,New Orleans Pelicans,99,Dallas Mavericks,94,,19894,American Airlines Center
2017-11-03,8:30p,2017-2018,Charlotte Hornets,101,San Antonio Spurs,108,,18418,AT&T Center
2017-11-03,9:00p,2017-2018,Miami Heat,94,Denver Nuggets,95,,15317,Pepsi Center
2017-11-03,9:00p,2017-2018,Toronto Raptors,109,Utah Jazz,100,,16258,Vivint Smart Home Arena
2017-11-03,9:30p,2017-2018,Boston Celtics,101,Oklahoma City Thunder,94,,18203,Chesapeake Energy Arena
2017-11-03,10:30p,2017-2018,Brooklyn Nets,112,Los Angeles Lakers,124,,18997,Staples Center
2017-11-04,3:30p,2017-2018,Memphis Grizzlies,113,Los Angeles Clippers,104,,14777,Staples Center
2017-11-04,7:00p,2017-2018,Sacramento Kings,99,Detroit Pistons,108,,17683,Little Caesars Arena
2017-11-04,8:00p,2017-2018,New Orleans Pelicans,96,Chicago Bulls,90,OT,21254,United Center
2017-11-04,8:00p,2017-2018,Dallas Mavericks,99,Minnesota Timberwolves,112,,16837,Target Center
2017-11-04,9:00p,2017-2018,Golden State Warriors,127,Denver Nuggets,108,,19711,Pepsi Center
2017-11-05,3:00p,2017-2018,Atlanta Hawks,117,Cleveland Cavaliers,115,,20562,Rocket Mortgage FieldHouse
2017-11-05,3:30p,2017-2018,Miami Heat,104,Los Angeles Clippers,101,,15676,Staples Center
2017-11-05,6:00p,2017-2018,Boston Celtics,104,Orlando Magic,88,,17731,Amway Center
2017-11-05,6:00p,2017-2018,Washington Wizards,107,Toronto Raptors,96,,19800,Scotiabank Arena
2017-11-05,7:00p,2017-2018,Utah Jazz,110,Houston Rockets,137,,16914,Toyota Center
2017-11-05,7:00p,2017-2018,Phoenix Suns,95,San Antonio Spurs,112,,18038,AT&T Center
2017-11-05,7:30p,2017-2018,Indiana Pacers,101,New York Knicks,108,,17889,Madison Square Garden
2017-11-05,8:00p,2017-2018,Charlotte Hornets,94,Minnesota Timberwolves,112,,14124,Target Center
2017-11-05,9:00p,2017-2018,Oklahoma City Thunder,99,Portland Trail Blazers,103,,19393,Moda Center
2017-11-05,9:30p,2017-2018,Memphis Grizzlies,102,Los Angeles Lakers,107,,18997,Staples Center
2017-11-06,7:30p,2017-2018,Boston Celtics,110,Atlanta Hawks,107,,13215,State Farm Arena
2017-11-06,9:00p,2017-2018,Brooklyn Nets,98,Phoenix Suns,92,,15905,Talking Stick Resort Arena
2017-11-06,10:30p,2017-2018,Miami Heat,80,Golden State Warriors,97,,19596,Chase Center
2017-11-07,7:00p,2017-2018,Milwaukee Bucks,119,Cleveland Cavaliers,124,,20562,Rocket Mortgage FieldHouse
2017-11-07,7:00p,2017-2018,New Orleans Pelicans,117,Indiana Pacers,112,,15014,Bankers Life Fieldhouse
2017-11-07,7:00p,2017-2018,Dallas Mavericks,113,Washington Wizards,99,,14505,Capital One Arena
2017-11-07,7:30p,2017-2018,Charlotte Hornets,113,New York Knicks,118,,18704,Madison Square Garden
2017-11-07,7:30p,2017-2018,Chicago Bulls,114,Toronto Raptors,119,,19800,Scotiabank Arena
2017-11-07,8:30p,2017-2018,Los Angeles Clippers,107,San Antonio Spurs,120,,18418,AT&T Center
2017-11-07,9:00p,2017-2018,Brooklyn Nets,104,Denver Nuggets,112,,14058,Pepsi Center
2017-11-07,9:00p,2017-2018,Philadelphia 76ers,104,Utah Jazz,97,,16063,Vivint Smart Home Arena
2017-11-07,10:00p,2017-2018,Memphis Grizzlies,98,Portland Trail Blazers,97,,18692,Moda Center
2017-11-07,10:00p,2017-2018,Oklahoma City Thunder,86,Sacramento Kings,94,,17583,Golden 1 Center
2017-11-08,7:00p,2017-2018,Indiana Pacers,97,Detroit Pistons,114,,14407,Little Caesars Arena
2017-11-08,7:00p,2017-2018,New York Knicks,99,Orlando Magic,112,,18803,Amway Center
2017-11-08,8:00p,2017-2018,Los Angeles Lakers,96,Boston Celtics,107,,18624,TD Garden
2017-11-08,9:00p,2017-2018,Miami Heat,126,Phoenix Suns,115,,16500,Talking Stick Resort Arena
2017-11-08,10:30p,2017-2018,Minnesota Timberwolves,101,Golden State Warriors,125,,19596,Chase Center
2017-11-09,7:00p,2017-2018,Los Angeles Lakers,95,Washington Wizards,111,,20356,Capital One Arena
2017-11-09,7:30p,2017-2018,New Orleans Pelicans,118,Toronto Raptors,122,,19800,Scotiabank Arena
2017-11-09,8:00p,2017-2018,Cleveland Cavaliers,113,Houston Rockets,117,,18055,Toyota Center
2017-11-09,10:00p,2017-2018,Philadelphia 76ers,108,Sacramento Kings,109,,17583,Golden 1 Center
2017-11-09,10:30p,2017-2018,Oklahoma City Thunder,94,Denver Nuggets,102,,19520,Pepsi Center
2017-11-10,7:00p,2017-2018,Atlanta Hawks,104,Detroit Pistons,111,,16687,Little Caesars Arena
2017-11-10,7:30p,2017-2018,Charlotte Hornets,87,Boston Celtics,90,,18624,TD Garden
2017-11-10,8:00p,2017-2018,Indiana Pacers,105,Chicago Bulls,87,,22416,United Center
2017-11-10,9:00p,2017-2018,Los Angeles Clippers,111,Oklahoma City Thunder,120,,18203,Chesapeake Energy Arena
2017-11-10,9:00p,2017-2018,Orlando Magic,128,Phoenix Suns,112,,16507,Talking Stick Resort Arena
2017-11-10,9:00p,2017-2018,Milwaukee Bucks,94,San Antonio Spurs,87,,18418,AT&T Center
2017-11-10,9:00p,2017-2018,Miami Heat,84,Utah Jazz,74,,18306,Vivint Smart Home Arena
2017-11-10,10:00p,2017-2018,Brooklyn Nets,101,Portland Trail Blazers,97,,19393,Moda Center
2017-11-11,7:00p,2017-2018,Los Angeles Clippers,103,New Orleans Pelicans,111,,17624,Smoothie King Center
2017-11-11,7:00p,2017-2018,Atlanta Hawks,94,Washington Wizards,113,,17260,Capital One Arena
2017-11-11,8:00p,2017-2018,Memphis Grizzlies,96,Houston Rockets,111,,18055,Toyota Center
2017-11-11,8:00p,2017-2018,Sacramento Kings,91,New York Knicks,118,,19812,Madison Square Garden
2017-11-11,8:30p,2017-2018,Cleveland Cavaliers,111,Dallas Mavericks,104,,20378,American Airlines Center
2017-11-11,8:30p,2017-2018,Philadelphia 76ers,114,Golden State Warriors,135,,19596,Chase Center
2017-11-11,8:30p,2017-2018,Los Angeles Lakers,90,Milwaukee Bucks,98,,18717,Fiserv Forum
2017-11-11,8:30p,2017-2018,Chicago Bulls,94,San Antonio Spurs,133,,18418,AT&T Center
2017-11-11,9:00p,2017-2018,Orlando Magic,107,Denver Nuggets,125,,16688,Pepsi Center
2017-11-11,9:00p,2017-2018,Minnesota Timberwolves,110,Phoenix Suns,118,,16910,Talking Stick Resort Arena
2017-11-11,9:00p,2017-2018,Brooklyn Nets,106,Utah Jazz,114,,17413,Vivint Smart Home Arena
2017-11-12,3:30p,2017-2018,Toronto Raptors,94,Boston Celtics,95,,18624,TD Garden
2017-11-12,4:00p,2017-2018,Miami Heat,103,Detroit Pistons,112,,16236,Little Caesars Arena
2017-11-12,6:00p,2017-2018,Houston Rockets,118,Indiana Pacers,95,,15581,Bankers Life Fieldhouse
2017-11-12,7:00p,2017-2018,Dallas Mavericks,99,Oklahoma City Thunder,112,,18203,Chesapeake Energy Arena
2017-11-13,7:00p,2017-2018,Sacramento Kings,92,Washington Wizards,110,,14660,Capital One Arena
2017-11-13,7:30p,2017-2018,Cleveland Cavaliers,104,New York Knicks,101,,19812,Madison Square Garden
2017-11-13,8:00p,2017-2018,Memphis Grizzlies,103,Milwaukee Bucks,110,,13244,Fiserv Forum
2017-11-13,8:00p,2017-2018,Atlanta Hawks,105,New Orleans Pelicans,106,,14631,Smoothie King Center
2017-11-13,9:00p,2017-2018,Los Angeles Lakers,100,Phoenix Suns,93,,17533,Talking Stick Resort Arena
2017-11-13,9:00p,2017-2018,Minnesota Timberwolves,109,Utah Jazz,98,,17236,Vivint Smart Home Arena
2017-11-13,10:00p,2017-2018,Denver Nuggets,82,Portland Trail Blazers,99,,18895,Moda Center
2017-11-13,10:30p,2017-2018,Orlando Magic,100,Golden State Warriors,110,,19596,Chase Center
2017-11-13,10:30p,2017-2018,Philadelphia 76ers,109,Los Angeles Clippers,105,,19068,Staples Center
2017-11-14,7:30p,2017-2018,Boston Celtics,109,Brooklyn Nets,102,,17732,Barclays Center
2017-11-14,8:00p,2017-2018,Toronto Raptors,129,Houston Rockets,113,,18055,Toyota Center
2017-11-14,8:30p,2017-2018,San Antonio Spurs,97,Dallas Mavericks,91,,19535,American Airlines Center
2017-11-15,7:30p,2017-2018,Sacramento Kings,80,Atlanta Hawks,126,,13860,State Farm Arena
2017-11-15,7:30p,2017-2018,Washington Wizards,102,Miami Heat,93,,19600,American Airlines Arena
2017-11-15,7:30p,2017-2018,Utah Jazz,101,New York Knicks,106,,18695,Madison Square Garden
2017-11-15,8:00p,2017-2018,Cleveland Cavaliers,115,Charlotte Hornets,107,,19427,Spectrum Center
2017-11-15,8:00p,2017-2018,Indiana Pacers,116,Memphis Grizzlies,113,,16033,FedExForum
2017-11-15,8:00p,2017-2018,Detroit Pistons,95,Milwaukee Bucks,99,,14594,Fiserv Forum
2017-11-15,8:00p,2017-2018,San Antonio Spurs,86,Minnesota Timberwolves,98,,18978,Target Center
2017-11-15,8:00p,2017-2018,Toronto Raptors,125,New Orleans Pelicans,116,,15654,Smoothie King Center
2017-11-15,8:00p,2017-2018,Chicago Bulls,79,Oklahoma City Thunder,92,,18203,Chesapeake Energy Arena
2017-11-15,10:00p,2017-2018,Orlando Magic,94,Portland Trail Blazers,99,,19206,Moda Center
2017-11-15,10:30p,2017-2018,Philadelphia 76ers,115,Los Angeles Lakers,109,,18997,Staples Center
2017-11-16,8:00p,2017-2018,Golden State Warriors,88,Boston Celtics,92,,18624,TD Garden
2017-11-16,10:30p,2017-2018,Houston Rockets,142,Phoenix Suns,116,,16875,Talking Stick Resort Arena
2017-11-17,7:00p,2017-2018,Detroit Pistons,100,Indiana Pacers,107,,17188,Bankers Life Fieldhouse
2017-11-17,7:00p,2017-2018,Miami Heat,91,Washington Wizards,88,,17551,Capital One Arena
2017-11-17,7:30p,2017-2018,Utah Jazz,107,Brooklyn Nets,118,,14495,Barclays Center
2017-11-17,7:30p,2017-2018,Los Angeles Clippers,113,Cleveland Cavaliers,118,OT,20562,Rocket Mortgage FieldHouse
2017-11-17,7:30p,2017-2018,New York Knicks,84,Toronto Raptors,107,,19800,Scotiabank Arena
2017-11-17,8:00p,2017-2018,Charlotte Hornets,120,Chicago Bulls,123,,20493,United Center
2017-11-17,8:00p,2017-2018,Oklahoma City Thunder,101,San Antonio Spurs,104,,18418,AT&T Center
2017-11-17,8:30p,2017-2018,Minnesota Timberwolves,111,Dallas Mavericks,87,,19459,American Airlines Center
2017-11-17,10:00p,2017-2018,Portland Trail Blazers,82,Sacramento Kings,86,,17583,Golden 1 Center
2017-11-17,10:30p,2017-2018,New Orleans Pelicans,114,Denver Nuggets,146,,16816,Pepsi Center
2017-11-17,10:30p,2017-2018,Phoenix Suns,122,Los Angeles Lakers,113,,18997,Staples Center
2017-11-18,7:00p,2017-2018,Los Angeles Clippers,87,Charlotte Hornets,102,,17640,Spectrum Center
2017-11-18,7:00p,2017-2018,Utah Jazz,125,Orlando Magic,85,,19157,Amway Center
2017-11-18,7:30p,2017-2018,Boston Celtics,110,Atlanta Hawks,99,,16381,State Farm Arena
2017-11-18,7:30p,2017-2018,Golden State Warriors,124,Philadelphia 76ers,116,,20848,Wells Fargo Center
2017-11-18,8:00p,2017-2018,Houston Rockets,105,Memphis Grizzlies,83,,17266,FedExForum
2017-11-18,9:00p,2017-2018,Milwaukee Bucks,79,Dallas Mavericks,111,,19949,American Airlines Center
2017-11-18,10:00p,2017-2018,Sacramento Kings,90,Portland Trail Blazers,102,,19522,Moda Center
2017-11-19,3:30p,2017-2018,Washington Wizards,91,Toronto Raptors,100,,19800,Scotiabank Arena
2017-11-19,5:00p,2017-2018,Indiana Pacers,120,Miami Heat,95,,19600,American Airlines Arena
2017-11-19,6:00p,2017-2018,Golden State Warriors,118,Brooklyn Nets,111,,17732,Barclays Center
2017-11-19,7:00p,2017-2018,Detroit Pistons,100,Minnesota Timberwolves,97,,16069,Target Center
2017-11-19,8:00p,2017-2018,Chicago Bulls,105,Phoenix Suns,113,,16264,Talking Stick Resort Arena
2017-11-19,9:30p,2017-2018,Denver Nuggets,109,Los Angeles Lakers,127,,18997,Staples Center
2017-11-20,7:00p,2017-2018,Minnesota Timberwolves,102,Charlotte Hornets,118,,15978,Spectrum Center
2017-11-20,7:00p,2017-2018,Cleveland Cavaliers,116,Detroit Pistons,88,,20491,Little Caesars Arena
2017-11-20,7:00p,2017-2018,Indiana Pacers,105,Orlando Magic,97,,17239,Amway Center
2017-11-20,7:00p,2017-2018,Utah Jazz,86,Philadelphia 76ers,107,,20587,Wells Fargo Center
2017-11-20,7:30p,2017-2018,Los Angeles Clippers,85,New York Knicks,107,,18848,Madison Square Garden
2017-11-20,8:00p,2017-2018,Portland Trail Blazers,100,Memphis Grizzlies,92,,15785,FedExForum
2017-11-20,8:00p,2017-2018,Washington Wizards,99,Milwaukee Bucks,88,,16122,Fiserv Forum
2017-11-20,8:00p,2017-2018,Oklahoma City Thunder,107,New Orleans Pelicans,114,,16765,Smoothie King Center
2017-11-20,8:30p,2017-2018,Boston Celtics,110,Dallas Mavericks,102,OT,20302,American Airlines Center
2017-11-20,8:30p,2017-2018,Atlanta Hawks,85,San Antonio Spurs,96,,18418,AT&T Center
2017-11-20,10:00p,2017-2018,Denver Nuggets,114,Sacramento Kings,98,,17583,Golden 1 Center
2017-11-21,10:30p,2017-2018,Chicago Bulls,94,Los Angeles Lakers,103,,18997,Staples Center
2017-11-22,7:00p,2017-2018,Washington Wizards,124,Charlotte Hornets,129,OT,16041,Spectrum Center
2017-11-22,7:00p,2017-2018,Brooklyn Nets,109,Cleveland Cavaliers,119,,20562,Rocket Mortgage FieldHouse
2017-11-22,7:00p,2017-2018,Portland Trail Blazers,81,Philadelphia 76ers,101,,20605,Wells Fargo Center
2017-11-22,7:30p,2017-2018,Los Angeles Clippers,116,Atlanta Hawks,103,,12675,State Farm Arena
2017-11-22,7:30p,2017-2018,Boston Celtics,98,Miami Heat,104,,19704,American Airlines Arena
2017-11-22,7:30p,2017-2018,Toronto Raptors,100,New York Knicks,108,,19812,Madison Square Garden
