GameDate,GameStartET,DateId,VisitorTeamName,VisitorPoints,HomeTeamName,HomePoints,Overtime,Attendance,ArenaName
2017-10-25,7:00p,9,Denver Nuggets,93,Charlotte Hornets,110,,14253,Spectrum Center
2017-10-25,7:00p,9,Minnesota Timberwolves,101,Detroit Pistons,122,,13790,Little Caesars Arena
2017-10-25,7:00p,9,Houston Rockets,105,Philadelphia 76ers,104,,20682,Wells Fargo Center
2017-10-25,7:30p,9,Cleveland Cavaliers,107,Brooklyn Nets,112,,17732,Barclays Center
2017-10-25,8:00p,9,San Antonio Spurs,117,Miami Heat,100,,19600,American Airlines Arena
2017-10-25,8:00p,9,Indiana Pacers,96,Oklahoma City Thunder,114,,18203,Chesapeake Energy Arena
2017-10-25,8:30p,9,Memphis Grizzlies,94,Dallas Mavericks,103,,19674,American Airlines Center
2017-10-25,10:00p,9,Utah Jazz,88,Phoenix Suns,97,,16022,Talking Stick Resort Arena
2017-10-25,10:30p,9,Toronto Raptors,112,Golden State Warriors,117,,19596,Chase Center
2017-10-25,10:30p,9,Washington Wizards,99,Los Angeles Lakers,102,OT,18996,Staples Center
2017-10-26,8:00p,10,Atlanta Hawks,86,Chicago Bulls,91,,21104,United Center
2017-10-26,8:00p,10,Dallas Mavericks,91,Memphis Grizzlies,96,,15839,FedExForum
2017-10-26,8:00p,10,Boston Celtics,96,Milwaukee Bucks,89,,11046,Fiserv Forum
2017-10-26,10:00p,10,Los Angeles Clippers,104,Portland Trail Blazers,103,,18694,Moda Center
2017-10-26,10:30p,10,New Orleans Pelicans,114,Sacramento Kings,106,,17583,Golden 1 Center
2017-10-27,7:00p,11,Houston Rockets,109,Charlotte Hornets,93,,17339,Spectrum Center
2017-10-27,7:00p,11,San Antonio Spurs,87,Orlando Magic,114,,17337,Amway Center
2017-10-27,7:30p,11,Denver Nuggets,105,Atlanta Hawks,100,,16220,State Farm Arena
2017-10-27,7:30p,11,Brooklyn Nets,86,New York Knicks,107,,19812,Madison Square Garden
2017-10-27,8:00p,11,Oklahoma City Thunder,116,Minnesota Timberwolves,119,,17620,Target Center
2017-10-27,10:30p,11,Washington Wizards,117,Golden State Warriors,120,,19596,Chase Center
2017-10-27,10:30p,11,Toronto Raptors,101,Los Angeles Lakers,92,,17876,Staples Center
2017-10-28,7:00p,12,Cleveland Cavaliers,101,New Orleans Pelicans,123,,18539,Smoothie King Center
2017-10-28,8:00p,12,Oklahoma City Thunder,101,Chicago Bulls,69,,21706,United Center
2017-10-28,8:00p,12,Houston Rockets,89,Memphis Grizzlies,103,,17033,FedExForum
2017-10-28,8:00p,12,Boston Celtics,96,Miami Heat,90,,19600,American Airlines Arena
2017-10-28,8:30p,12,Philadelphia 76ers,112,Dallas Mavericks,110,,19567,American Airlines Center
2017-10-28,9:00p,12,Los Angeles Lakers,81,Utah Jazz,96,,18306,Vivint Smart Home Arena
2017-10-28,10:00p,12,Phoenix Suns,107,Portland Trail Blazers,114,,19343,Moda Center
2017-10-28,10:30p,12,Detroit Pistons,95,Los Angeles Clippers,87,,17247,Staples Center
