MemberID,FirstName,LastName,TeamName
151,T. J.,Warren,Indiana Pacers
152,Giannis,Antetokounmpo,Milwaukee Bucks
153,Thanasis,Antetokounmpo,Milwaukee Bucks
154,Eric,Bledsoe,Milwaukee Bucks
155,Sterling,Brown,Milwaukee Bucks
156,Pat,Connaughton,Milwaukee Bucks
157,Donte,DiVincenzo,Milwaukee Bucks
158,George,Hill,Milwaukee Bucks
159,Ersan,Ilyasova,Milwaukee Bucks
160,Kyle,Korver,Milwaukee Bucks
161,Brook,Lopez,Milwaukee Bucks
162,Robin,Lopez,Milwaukee Bucks
163,Frank,Mason,Milwaukee Bucks
164,Wesley,Matthews,Milwaukee Bucks
165,Khris,Middleton,Milwaukee Bucks
166,Cameron,Reynolds,Milwaukee Bucks
167,Marvin,Williams,Milwaukee Bucks
168,D. J.,Wilson,Milwaukee Bucks
169,DeAndre',Bembry,Atlanta Hawks
170,Charlie,Brown,Atlanta Hawks
171,Clint,Capela,Atlanta Hawks
172,Vince,Carter,Atlanta Hawks
173,John,Collins,Atlanta Hawks
174,Dewayne,Dedmon,Atlanta Hawks
175,Bruno,Fernando,Atlanta Hawks
176,Brandon,Goodwin,Atlanta Hawks
177,Treveon,Graham,Atlanta Hawks
178,Kevin,Huerter,Atlanta Hawks
179,De'Andre,Hunter,Atlanta Hawks
180,Damian,Jones,Atlanta Hawks
181,Skal,Labissiere,Atlanta Hawks
182,Cam,Reddish,Atlanta Hawks
183,Jeff,Teague,Atlanta Hawks
184,Trae,Young,Atlanta Hawks
185,Dwayne,Bacon,Charlotte Hornets
186,Nicolas,Batum,Charlotte Hornets
187,Bismack,Biyombo,Charlotte Hornets
188,Joe,Chealey,Charlotte Hornets
189,Miles,Bridges,Charlotte Hornets
190,Devonte',Graham,Charlotte Hornets
191,Willy,Hernangomez,Charlotte Hornets
192,Caleb,Martin,Charlotte Hornets
193,Cody,Martin,Charlotte Hornets
194,Jalen,McDaniels,Charlotte Hornets
195,Malik,Monk,Charlotte Hornets
196,Terry,Rozier,Charlotte Hornets
197,Kobi,Simmons,Charlotte Hornets
198,Ray,Spalding,Charlotte Hornets
199,P. J.,Washington,Charlotte Hornets
200,Cody,Zeller,Charlotte Hornets
201,Bam,Adebayo,Miami Heat
202,Kyle,Alexander,Miami Heat
203,Jimmy,Butler,Miami Heat
204,Jae,Crowder,Miami Heat
205,Goran,Dragic,Miami Heat
206,Udonis,Haslem,Miami Heat
207,Tyler,Herro,Miami Heat
208,Solomon,Hill,Miami Heat
209,Andre,Iguodala,Miami Heat
210,Derrick,Jones,Miami Heat
211,Meyers,Leonard,Miami Heat
212,Kendrick,Nunn,Miami Heat
213,KZ,Okpala,Miami Heat
214,Kelly,Olynyk,Miami Heat
215,Duncan,Robinson,Miami Heat
216,Chris,Silva,Miami Heat
217,Gabe,Vincent,Miami Heat
218,Al-Farouq,Aminu,Orlando Magic
219,D. J.,Augustin,Orlando Magic
220,Mohamed,Bamba,Orlando Magic
221,Khem,Birch,Orlando Magic
222,Michael,Carter-Williams,Orlando Magic
223,Gary,Clark,Orlando Magic
224,James,Ennis,Orlando Magic
225,Evan,Fournier,Orlando Magic
226,Melvin,Frazier,Orlando Magic
227,Markelle,Fultz,Orlando Magic
228,Aaron,Gordon,Orlando Magic
229,Jonathan,Isaac,Orlando Magic
230,Wes,Iwundu,Orlando Magic
231,B. J.,Johnson,Orlando Magic
232,Vic,Law,Orlando Magic
233,Terrence,Ross,Orlando Magic
234,Nikola,Vucevic,Orlando Magic
235,Bradley,Beal,Washington Wizards
236,Davis,Bertans,Washington Wizards
